[Info]
length_unit = µm
time_unit = µs
fov = 3.999998246574961, 3.990000000000009
center = (122.99999912328748, 456.005)
base_dwell_time = None
total_dwell_time = 221360000.0
number_of_points = 44272
description = an optional description for yourself
time_stamp = 2023-03-22 16:42:43.142372

[Points]
121.78277 457.70646 5000
121.78371 457.70611 5000
121.78464 457.70576 5000
121.78558 457.70541 5000
121.78652 457.70506 5000
121.78745 457.70471 5000
121.78839 457.70435 5000
121.78933 457.70400 5000
121.79026 457.70365 5000
121.79120 457.70330 5000
121.79213 457.70295 5000
121.79307 457.70260 5000
121.79401 457.70225 5000
121.79494 457.70190 5000
121.79588 457.70155 5000
121.79682 457.70119 5000
121.79775 457.70084 5000
121.79869 457.70049 5000
121.79963 457.70014 5000
121.80056 457.69979 5000
121.80150 457.69944 5000
121.80243 457.69909 5000
121.80337 457.69874 5000
121.80431 457.69838 5000
121.80524 457.69803 5000
121.80618 457.69768 5000
121.80712 457.69733 5000
121.80805 457.69698 5000
121.80899 457.69663 5000
121.80992 457.69628 5000
121.81086 457.69593 5000
121.81180 457.69558 5000
121.81273 457.69522 5000
121.81367 457.69487 5000
121.81461 457.69452 5000
121.81554 457.69417 5000
121.81648 457.69382 5000
121.81742 457.69347 5000
121.81835 457.69312 5000
121.81929 457.69277 5000
121.82022 457.69242 5000
121.82116 457.69206 5000
121.82210 457.69171 5000
121.82303 457.69136 5000
121.82397 457.69101 5000
121.82491 457.69066 5000
121.82584 457.69031 5000
121.82678 457.68996 5000
121.82771 457.68961 5000
121.82865 457.68926 5000
121.82959 457.68890 5000
121.83052 457.68855 5000
121.83146 457.68820 5000
121.83240 457.68785 5000
121.83333 457.68750 5000
121.83427 457.68715 5000
121.83521 457.68680 5000
121.83614 457.68645 5000
121.83708 457.68610 5000
121.83801 457.68574 5000
121.83895 457.68539 5000
121.83989 457.68504 5000
121.84082 457.68469 5000
121.84176 457.68434 5000
121.84270 457.68399 5000
121.84363 457.68364 5000
121.84457 457.68329 5000
121.84551 457.68294 5000
121.84644 457.68258 5000
121.84738 457.68223 5000
121.84831 457.68188 5000
121.84925 457.68153 5000
121.85019 457.68118 5000
121.85112 457.68083 5000
121.85206 457.68048 5000
121.85300 457.68013 5000
121.85393 457.67978 5000
121.85487 457.67942 5000
121.85580 457.67907 5000
121.85674 457.67872 5000
121.85768 457.67837 5000
121.85861 457.67802 5000
121.85955 457.67767 5000
121.86049 457.67732 5000
121.86142 457.67697 5000
121.86236 457.67662 5000
121.86330 457.67626 5000
121.86423 457.67591 5000
121.86517 457.67556 5000
121.86610 457.67521 5000
121.86704 457.67486 5000
121.86798 457.67451 5000
121.86891 457.67416 5000
121.86985 457.67381 5000
121.87079 457.67346 5000
121.87172 457.67310 5000
121.87266 457.67275 5000
121.87360 457.67240 5000
121.87453 457.67205 5000
121.87547 457.67170 5000
121.87640 457.67135 5000
121.87734 457.67100 5000
121.87828 457.67065 5000
121.87921 457.67030 5000
121.88015 457.66994 5000
121.88109 457.66959 5000
121.88202 457.66924 5000
121.88296 457.66889 5000
121.88389 457.66854 5000
121.88483 457.66819 5000
121.88577 457.66784 5000
121.88670 457.66749 5000
121.88764 457.66713 5000
121.88858 457.66678 5000
121.88951 457.66643 5000
121.89045 457.66608 5000
121.89139 457.66573 5000
121.89232 457.66538 5000
121.89326 457.66503 5000
121.89419 457.66468 5000
121.89513 457.66433 5000
121.89607 457.66397 5000
121.89700 457.66362 5000
121.89794 457.66327 5000
121.89888 457.66292 5000
121.89981 457.66257 5000
121.90075 457.66222 5000
121.90168 457.66187 5000
121.90262 457.66152 5000
121.90356 457.66117 5000
121.90449 457.66081 5000
121.90543 457.66046 5000
121.90637 457.66011 5000
121.90730 457.65976 5000
121.90824 457.65941 5000
121.90918 457.65906 5000
121.91011 457.65871 5000
121.91105 457.65836 5000
121.91198 457.65801 5000
121.91292 457.65765 5000
121.91386 457.65730 5000
121.91479 457.65695 5000
121.91573 457.65660 5000
121.91667 457.65625 5000
121.91760 457.65590 5000
121.91854 457.65555 5000
121.91948 457.65520 5000
121.92041 457.65485 5000
121.92135 457.65449 5000
121.92228 457.65414 5000
121.92322 457.65379 5000
121.92416 457.65344 5000
121.92509 457.65309 5000
121.92603 457.65274 5000
121.92697 457.65239 5000
121.92790 457.65204 5000
121.92884 457.65169 5000
121.92977 457.65133 5000
121.93071 457.65098 5000
121.93165 457.65063 5000
121.93258 457.65028 5000
121.93352 457.64993 5000
121.93446 457.64958 5000
121.93539 457.64923 5000
121.93633 457.64888 5000
121.93727 457.64853 5000
121.93820 457.64817 5000
121.93914 457.64782 5000
121.94007 457.64747 5000
